,Country,Population,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Deathrate
152,Nigeria,131859731,142.7,98.8,900.0,16.94
154,Norway,4610820,14.2,3.7,37800.0,9.4
155,Oman,3102229,14.6,19.51,13100.0,3.81
156,Pakistan,165803560,206.2,72.44,2100.0,8.23
158,Panama,3191319,40.8,20.47,6300.0,5.36
159,Papua New Guinea,5670544,12.3,51.45,2200.0,7.25
160,Paraguay,6506464,16.0,25.63,4700.0,4.49
161,Peru,28302603,22.0,31.94,5100.0,6.23
162,Philippines,89468677,298.2,23.51,4600.0,5.41
163,Poland,38536869,123.3,8.51,11100.0,9.89
164,Portugal,10605870,114.8,5.05,18000.0,10.5
166,Qatar,885359,77.4,18.61,21500.0,4.72
168,Romania,22303552,93.9,26.43,7000.0,11.77
169,Russia,142893540,8.4,15.39,8900.0,14.65
170,Rwanda,8648248,328.4,91.23,1300.0,16.09
172,Saint Kitts and Nevis,39129,149.9,14.49,8800.0,8.33
173,Saint Lucia,168458,273.5,13.53,5400.0,5.08
175,Saint Vincent and the Grenadines,117848,303.0,14.78,2900.0,5.98
177,San Marino,29251,479.5,5.73,34600.0,8.17
178,Sao Tome and Principe,193413,193.2,43.11,1200.0,6.47
179,Saudi Arabia,27019731,13.8,13.24,11800.0,2.58
180,Senegal,11987121,61.1,55.51,1600.0,9.42
182,Seychelles,81541,179.2,15.53,7800.0,6.29
183,Sierra Leone,6005250,83.7,143.64,500.0,23.03
184,Singapore,4492150,6482.2,2.29,23700.0,4.28
185,Slovakia,5439448,111.4,7.41,13300.0,9.45
186,Slovenia,2010347,99.2,4.45,19000.0,10.31
188,Somalia,8863338,13.9,116.7,500.0,16.63
189,South Africa,44187637,36.2,61.81,10700.0,22.0
190,Spain,40397842,80.0,4.42,22000.0,9.72
191,Sri Lanka,20222240,308.2,14.35,3700.0,6.52
192,Sudan,41236378,16.5,62.5,1900.0,8.97
193,Suriname,439117,2.7,23.57,4000.0,7.27
195,Sweden,9016596,20.0,2.77,26800.0,10.31
196,Switzerland,7523934,182.2,4.39,32700.0,8.49
197,Syria,18881361,102.0,29.53,3300.0,4.81
199,Tajikistan,7320815,51.2,110.76,1000.0,8.25
200,Tanzania,37445392,39.6,98.54,600.0,16.39
201,Thailand,64631595,125.7,20.48,7400.0,7.04
202,Togo,5548702,97.7,66.61,1500.0,9.83
204,Trinidad and Tobago,1065842,207.9,24.31,9500.0,10.57
205,Tunisia,10175014,62.2,24.77,6900.0,5.13
206,Turkey,70413958,90.2,41.04,6700.0,5.97
210,Uganda,28195754,119.5,67.83,1400.0,12.24
211,Ukraine,46710816,77.4,20.34,5400.0,14.39
212,United Arab Emirates,2602713,31.4,14.51,23200.0,4.4
213,United Kingdom,60609153,247.6,5.16,27700.0,10.13
215,Uruguay,3431932,19.5,11.95,12800.0,9.05
216,Uzbekistan,27307134,61.0,71.1,1700.0,7.84
218,Venezuela,25730435,28.2,22.2,4800.0,4.92
219,Vietnam,84402966,256.1,25.95,2500.0,6.22
224,Yemen,21456188,40.6,61.5,800.0,8.3
225,Zambia,11502010,15.3,88.29,800.0,19.93
226,Zimbabwe,12236805,31.3,67.69,1900.0,21.84
